y,m,d,p,e,q
1982,1,1,0,1.3,38.33985216
1982,1,2,0,0.6,37.77818366
1982,1,3,1.59,0.6,37.98347134
1982,1,4,1.44,0.5,39.98867942
1982,1,5,0,0.9,38.73206384
1982,1,6,0,0.8,35.57731428
1982,1,7,0,1.6,34.09355108
1982,1,8,0,1.1,32.89950892
1982,1,9,0,0.9,31.80611775
1982,1,10,0,1.5,30.79673685
1982,1,11,0.05,1.2,29.85748726
1982,1,12,0.59,0.4,29.26662824
1982,1,13,1.15,0.9,29.16071596
1982,1,14,2.1,0.2,31.24975591
1982,1,15,0.03,0.2,33.39467814
1982,1,16,0,2.7,29.40617632
1982,1,17,0,1.6,28.19649409
1982,1,18,0,2,27.41563377
1982,1,19,0,1.3,26.68206485
1982,1,20,0,1,25.99943251
1982,1,21,1.02,0.3,26.33404234
1982,1,22,2.1,0.6,28.97318088
1982,1,23,0.01,0.6,29.72838392
1982,1,24,0,1.2,26.50435411
1982,1,25,0,1.7,25.54755822
1982,1,26,0,1,24.91677444
1982,1,27,0.34,1.4,24.32694474
1982,1,28,0,1.5,23.76819927
1982,1,29,0,0.8,23.23828912
1982,1,30,0.05,0.9,22.74146258
1982,1,31,0,1.2,22.2694152
1982,2,1,0,1.2,21.8178011
1982,2,2,0,0.8,21.38879781
1982,2,3,1.62,0.6,22.23805008
1982,2,4,4.95,1.4,27.91739951
1982,2,5,0.86,0.6,31.9576762
1982,2,6,7.28,0.8,34.81375917
1982,2,7,13.04,0.9,63.50884195
1982,2,8,14.25,0.9,103.2003083
1982,2,9,29.72,0.4,193.5844768
1982,2,10,24.55,0.6,359.2814025
1982,2,11,23.25,0,476.1732918
1982,2,12,0.21,0.6,420.3255972
1982,2,13,8.53,0.5,298.2391227
1982,2,14,1.43,0,260.367171
1982,2,15,0.02,0.4,194.5871405
1982,2,16,0,0.6,152.8587216
1982,2,17,0,0.5,127.2924134
1982,2,18,6.17,0.6,126.2747315
1982,2,19,1.71,1.5,128.4894155
1982,2,20,1.14,0.8,105.037273
1982,2,21,0.05,1,92.52234092
1982,2,22,8.53,0.5,103.7842012
1982,2,23,9.57,1.1,142.869138
1982,2,24,0.6,0.5,141.2673123
1982,2,25,0.64,1,108.4379174
1982,2,26,6.68,0.3,112.1356778
1982,2,27,6.25,0.8,136.2390458
1982,2,28,0.85,0.7,127.8015576
1982,3,1,0,1.5,102.647981
1982,3,2,0,1.5,89.8949007
1982,3,3,0.14,0.4,80.94461169
1982,3,4,0.03,2.7,73.74203214
1982,3,5,14.07,1.8,98.39201994
1982,3,6,16.79,1.7,174.705689
1982,3,7,35.25,1.1,342.332802
1982,3,8,22.4,2.1,556.4999362
1982,3,9,1.05,0.7,451.8851864
1982,3,10,0.85,0.7,279.27952
1982,3,11,6.68,0.7,234.4709827
1982,3,12,4.34,1.9,222.3101724
1982,3,13,24.55,0.1,296.0998061
1982,3,14,5.71,1,381.3709901
1982,3,15,17.93,0.6,368.0083768
1982,3,16,0,1.7,355.509613
1982,3,17,0.05,1.1,234.8949988
1982,3,18,0.04,0.7,181.4152725
1982,3,19,0.03,2.7,149.6367187
1982,3,20,0.11,2,127.5786528
1982,3,21,0.07,1.2,111.4841938
1982,3,22,4.51,0.5,111.800803
1982,3,23,0.02,2.1,113.8577276
1982,3,24,7.85,2.9,110.512582
1982,3,25,7.65,1.4,135.750394
1982,3,26,11.14,2,167.410349
1982,3,27,0.92,0,173.1535485
1982,3,28,2.04,0.1,142.4926161
1982,3,29,0.9,0.4,129.2631688
1982,3,30,0.06,1.1,112.0230251
1982,3,31,23.62,3.8,167.7022561
1982,4,1,2.95,1.5,235.7130405
1982,4,2,6.09,2,186.0983228
1982,4,3,7.46,0.8,194.4499755
1982,4,4,22.72,1.6,284.8783575
1982,4,5,0.72,0.9,325.9546092
1982,4,6,0.2,0.7,215.5203956
1982,4,7,0.01,2.1,169.6077902
1982,4,8,0.02,2,142.3716303
1982,4,9,0,2.5,123.02549
1982,4,10,0,2.9,108.5919578
1982,4,11,0,2.3,97.4332497
1982,4,12,0.75,1.6,88.60830005
1982,4,13,7.32,1.8,97.25630906
1982,4,14,0.28,3,107.2189342
1982,4,15,0,3.6,88.11034029
1982,4,16,0,2.6,79.79843973
1982,4,17,1.84,1.1,75.92436682
1982,4,18,0.53,2.1,73.014843
1982,4,19,0,1.7,67.14535969
1982,4,20,0.5,1.1,63.14375219
1982,4,21,7.03,0.8,74.72968771
1982,4,22,7.62,0.6,107.2542157
1982,4,23,5.09,2.7,117.3790725
1982,4,24,22.66,2.7,168.0198448
1982,4,25,18.24,1.4,303.3457354
1982,4,26,0,2.5,294.5287194
1982,4,27,0,3.4,199.0867252
1982,4,28,0.03,1.7,158.6615754
1982,4,29,8.82,0.7,164.890816
1982,4,30,8.21,1.2,202.35887
1982,5,1,12.75,1.6,235.4791568
1982,5,2,0.1,1.8,230.8291412
1982,5,3,0,3.7,168.0217232
1982,5,4,0,1.9,138.794454
1982,5,5,16.15,2.5,170.6105289
1982,5,6,22.55,1.3,305.4630454
1982,5,7,16.18,0.2,430.443958
1982,5,8,1.36,1.8,371.7614546
1982,5,9,17.23,6.8,301.1447672
1982,5,10,78.65,3.8,871.9599397
1982,5,11,22.59,0.1,1457.554834
1982,5,12,4.24,2,805.3494678
1982,5,13,4.28,2.5,446.8484752
1982,5,14,5.47,1.2,335.9303296
1982,5,15,1.4,0.2,278.2044564
1982,5,16,0.01,1.4,216.4131432
1982,5,17,0.82,1.4,174.6299366
1982,5,18,9.9,2.5,181.0551999
1982,5,19,0.11,3.4,189.5905291
1982,5,20,0,4.1,148.8485972
1982,5,21,0,4.5,128.5837852
1982,5,22,0,4.4,114.6319986
1982,5,23,0,4.7,103.6760401
1982,5,24,0,3.5,94.85139331
1982,5,25,0.38,3.9,87.62038035
1982,5,26,0.17,2.6,81.59127916
1982,5,27,9.78,1.4,100.8823382
1982,5,28,17.4,0.5,184.1465693
1982,5,29,5.95,2.2,238.0056791
1982,5,30,2.82,3,185.1815002
1982,5,31,0,3.5,146.5137573
1982,6,1,10.74,4.1,151.6006867
1982,6,2,10.85,1.9,196.9029369
1982,6,3,0.05,4,195.9218311
1982,6,4,0,4.2,148.5419791
1982,6,5,0,2,126.5596143
1982,6,6,8.07,1.5,135.058186
1982,6,7,10.5,0.6,183.9928598
1982,6,8,5.21,1,208.0707463
1982,6,9,0.97,3.1,175.3698334
1982,6,10,1.91,2.7,139.9401518
1982,6,11,5.49,1.7,134.9674709
1982,6,12,3.49,1.8,139.8689215
1982,6,13,43.23,4.7,297.3961693
1982,6,14,44.79,0.9,832.1161045
1982,6,15,58.75,2.9,1462.315395
1982,6,16,66.56,0.8,2082.640494
1982,6,17,44.2,0,2104.58007
1982,6,18,73.05,2.1,2239.803208
1982,6,19,7.01,1.1,1709.218839
1982,6,20,0.47,2.1,685.3524086
1982,6,21,0,0,397.1057499
1982,6,22,60.13,2.1,815.6981234
1982,6,23,4.14,1.1,1140.144307
1982,6,24,0,2.3,547.1952823
1982,6,25,0,4.3,348.6482892
1982,6,26,0,5,263.5548311
